"","CPHI.Open","CPHI.High","CPHI.Low","CPHI.Close","CPHI.Volume","CPHI.Adjusted"
"257",0.16,0.16,0.15,0.16,3600,0.16
"258",0.16,0.16,0.14,0.15,54700,0.15
"259",0.15,0.15,0.15,0.15,50000,0.15
"260",0.16,0.16,0.14,0.14,2200,0.14
"261",0.14,0.16,0.14,0.16,69100,0.16
"262",0.15,0.15,0.13,0.14,88600,0.14
"263",0.16,0.16,0.13,0.14,17800,0.14
"264",0.14,0.14,0.13,0.14,57100,0.14
"265",0.16,0.16,0.13,0.14,25300,0.14
"266",0.14,0.14,0.13,0.14,16800,0.14
"267",0.15,0.15,0.14,0.14,41800,0.14
"268",0.15,0.15,0.15,0.15,22700,0.15
"269",0.15,0.15,0.14,0.15,38300,0.15
"270",0.14,0.15,0.13,0.15,22300,0.15
"271",0.15,0.15,0.13,0.14,53000,0.14
"272",0.13,0.14,0.13,0.13,159200,0.13
"273",0.13,0.13,0.12,0.12,62500,0.12
"274",0.12,0.14,0.12,0.14,80100,0.14
"275",0.13,0.14,0.13,0.14,1600,0.14
"276",0.14,0.14,0.13,0.14,8800,0.14
"277",0.13,0.13,0.13,0.13,400,0.13
"278",0.13,0.14,0.13,0.13,20000,0.13
"279",0.14,0.14,0.13,0.14,49000,0.14
"280",0.13,0.14,0.12,0.12,23200,0.12
"281",0.13,0.14,0.12,0.14,8300,0.14
"282",0.14,0.14,0.12,0.13,66900,0.13
"283",0.13,0.13,0.13,0.13,200,0.13
"284",0.13,0.13,0.13,0.13,9300,0.13
"285",0.13,0.13,0.13,0.13,32200,0.13
"286",0.13,0.14,0.13,0.14,5600,0.14
"287",0.14,0.14,0.13,0.14,12600,0.14
"288",0.14,0.14,0.13,0.14,5300,0.14
"289",0.14,0.15,0.14,0.15,83400,0.15
"290",0.14,0.14,0.14,0.14,3900,0.14
"291",0.14,0.14,0.14,0.14,0,0.14
"292",0.15,0.15,0.14,0.14,66300,0.14
"293",0.13,0.15,0.13,0.15,5300,0.15
"294",0.14,0.15,0.14,0.15,57100,0.15
"295",0.15,0.15,0.13,0.13,32600,0.13
"296",0.15,0.15,0.13,0.13,14800,0.13
"297",0.13,0.13,0.13,0.13,2600,0.13
"298",0.14,0.19,0.14,0.18,474700,0.18
"299",0.18,0.18,0.15,0.16,200300,0.16
"300",0.14,0.17,0.14,0.17,25800,0.17
"301",0.16,0.16,0.15,0.15,13100,0.15
"302",0.17,0.17,0.15,0.16,7700,0.16
"303",0.17,0.17,0.15,0.17,19100,0.17
"304",0.17,0.18,0.16,0.17,152700,0.17
"305",0.18,0.19,0.16,0.18,68800,0.18
"306",0.17,0.18,0.16,0.17,17400,0.17
"307",0.17,0.17,0.17,0.17,19000,0.17
"308",0.18,0.18,0.16,0.18,17400,0.18
"309",0.19,0.23,0.18,0.2,306900,0.2
"310",0.22,0.22,0.2,0.21,175700,0.21
"311",0.22,0.22,0.19,0.19,40600,0.19
"312",0.18,0.21,0.18,0.2,10100,0.2
"313",0.2,0.2,0.17,0.17,61100,0.17
"314",0.2,0.2,0.17,0.18,21400,0.18
"315",0.19,0.2,0.17,0.18,83900,0.18
"316",0.17,0.19,0.17,0.17,12100,0.17
"317",0.18,0.19,0.17,0.18,24700,0.18
"318",0.16,0.18,0.15,0.18,74200,0.18
"319",0.17,0.2,0.17,0.19,69600,0.19
"320",0.18,0.19,0.17,0.18,8400,0.18
"321",0.19,0.21,0.19,0.2,107300,0.2
"322",0.21,0.21,0.18,0.18,18300,0.18
"323",0.19,0.23,0.19,0.23,83800,0.23
"324",0.23,0.23,0.21,0.22,50000,0.22
"325",0.22,0.22,0.18,0.18,34200,0.18
"326",0.19,0.2,0.19,0.19,5800,0.19
"327",0.2,0.21,0.19,0.2,29600,0.2
"328",0.21,0.21,0.2,0.2,10200,0.2
"329",0.21,0.21,0.2,0.2,3400,0.2
"330",0.21,0.21,0.2,0.21,46900,0.21
"331",0.21,0.25,0.21,0.24,128700,0.24
"332",0.23,0.25,0.2,0.25,42800,0.25
"333",0.25,0.25,0.21,0.24,32300,0.24
